sample_name,gso_category
شوكولاتة بايت,Cereals; Legumes and their Products
كراميل بايت,Cereals; Legumes and their Products
تمر بايت,Cereals; Legumes and their Products
كيك شوكولاتة بلاك فورست,Cereals; Legumes and their Products
شوكولاتة بسكوت ويفر,Cereals; Legumes and their Products
فروزن كيك بالتمر و اليانسون,Cereals; Legumes and their Products
مافن بالتمر مع عين الجمل,Cereals; Legumes and their Products
مافن بالشوفان و العسل,Cereals; Legumes and their Products
هني كيك,Cereals; Legumes and their Products
كيك بونابيست,Cereals; Legumes and their Products
زبادي بالفول السوداني,Dairy Products
كروسان صغير جبن كيري,Cereals; Legumes and their Products
